SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
TORNTPOWER, EQ, 25-Jun-2019, 242.10, 244.00, 274.20, 244.00, 272.50, 271.70, 264.63, 7730501, 20457.12, 67602, 1456206, 18.84
TPLPLASTEH, EQ, 25-Jun-2019, 125.55, 123.80, 131.50, 123.15, 131.00, 130.25, 127.82, 2114, 2.70, 155, 1151, 54.45
TRANSWIND, SM, 25-Jun-2019, 7.80, 7.45, 7.45, 7.45, 7.45, 7.45, 7.45, 4000, 0.30, 1, 4000, 100.00
TREEHOUSE, EQ, 25-Jun-2019, 4.75, 4.60, 4.80, 4.55, 4.70, 4.70, 4.62, 52269, 2.42, 88, 44805, 85.72
TREJHARA, EQ, 25-Jun-2019, 22.20, 22.60, 24.60, 20.95, 21.30, 21.45, 21.62, 10043, 2.17, 70, 5394, 53.71
TRENT, EQ, 25-Jun-2019, 426.05, 424.75, 448.90, 423.00, 430.70, 431.80, 436.37, 425494, 1856.71, 16027, 149641, 35.17
TRF, EQ, 25-Jun-2019, 110.95, 110.55, 112.80, 109.45, 111.90, 111.60, 111.47, 9083, 10.13, 280, 3725, 41.01
TRIDENT, EQ, 25-Jun-2019, 62.40, 62.40, 62.60, 61.90, 62.20, 62.25, 62.21, 263288, 163.78, 3175, 115245, 43.77
TRIGYN, EQ, 25-Jun-2019, 54.75, 54.75, 58.40, 53.15, 57.00, 57.40, 56.34, 28238, 15.91, 559, 17105, 60.57
TRIL, EQ, 25-Jun-2019, 10.70, 11.40, 11.40, 10.40, 10.40, 10.55, 10.66, 19096, 2.04, 118, 10172, 53.27
TRITURBINE, EQ, 25-Jun-2019, 104.20, 104.20, 105.30, 102.85, 103.75, 104.15, 103.78, 8876, 9.21, 182, 6612, 74.49
TRIVENI, EQ, 25-Jun-2019, 65.35, 64.95, 65.00, 63.15, 64.50, 64.20, 64.02, 164908, 105.57, 1319, 67800, 41.11
TTKHLTCARE, EQ, 25-Jun-2019, 608.15, 617.00, 617.00, 594.05, 600.00, 599.90, 601.75, 1825, 10.98, 204, 1196, 65.53
TTKPRESTIG, EQ, 25-Jun-2019, 6829.75, 6829.30, 6850.10, 6760.00, 6789.00, 6800.05, 6798.55, 1498, 101.84, 784, 883, 58.95
TTL, EQ, 25-Jun-2019, 44.55, 46.55, 48.90, 44.55, 45.05, 45.10, 45.68, 1020, 0.47, 85, 644, 63.14
